Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,3318409.48,7014,473.11,66.74,315.75
2,February,28,4043482.09,7861,514.37,82.82,426.0
3,March,31,3578639.49,7196,497.31,68.47,340.51
4,April,30,1601584.87,4251,376.75,41.8,157.48
5,May,31,1883167.05,5891,319.67,56.06,179.21
6,June,30,1265552.4,4284,295.41,42.12,124.43
7,July,31,1088121.6,3663,297.06,34.86,103.56
8,August,31,1232531.99,4467,275.92,42.51,117.29
9,September,30,1693741.52,5188,326.47,51.01,166.53
10,October,31,3320647.29,7122,466.25,67.77,315.98
11,November,30,4328224.58,7898,548.02,77.66,425.59
12,December,31,5457417.64,7442,733.33,70.82,519.34
